left,right
82,82
81,43
77,47
77,82
68,47
39,79
85,71
43,81
59,69
68,70
52,75
67,91
73,73
76,41
73,44
24,65
59,84
79,49
27,79
68,79
70,51
35,77
68,60
26,87
73,33
78,77
77,82
39,65
76,72
47,30
92,39
80,88
67,42
27,81
67,58
75,32
79,62
65,80
50,77
85,77
64,79
61,64
73,80
58,54
70,66
83,73
79,66
73,74
67,68
69,45
55,70
84,66
65,90
38,77
72,98
71,41
36,60
33,82
74,79
74,77
83,85
81,20
72,69
70,69
53,81
58,72
64,80
80,39
55,60
68,55
72,81
75,66
63,66
42,60
84,68
78,80
40,78
52,59
76,81
61,92
25,59
73,26
42,77
85,76
39,76
78,67
67,76
82,72
73,30
65,70
91,86
93,90
61,76
73,75
35,76
71,94
74,53
28,67
49,83
75,24
40,47
63,74
30,75
62,73
61,46
88,70
57,65
66,70
80,47
83,61
70,75
66,30
83,77
84,85
73,68
87,73
59,50
76,39
67,61
81,57
69,89
81,67
66,83
82,45
76,75
82,93
52,64
74,27
61,73
77,33
67,62
79,70
85,76
72,48
27,62
45,57
61,51
67,68
72,93
35,26
63,58
51,63
71,60
41,64
71,82
65,79
80,85
76,59
47,71
76,76
71,50
62,84
80,79
73,77
58,69
73,66
59,85
60,78
77,80
62,78
88,61
53,80
82,72
68,66
33,75
52,30
52,76
84,81
35,81
65,31
37,52
74,90
39,79
83,76
76,79
77,73
78,36
60,49
81,79
85,49
77,79
77,30
64,66
63,66
78,41
30,56
67,60
65,79
68,45
69,70
82,60
83,25
33,60
40,36
79,90
71,79
52,66
63,68
64,41
70,61
86,78
68,69
78,58
57,78
74,78
35,60
73,79
40,70
26,70
80,55
89,71
63,47
72,76
40,70
38,23
40,53
91,24
79,73
68,66
89,77
76,76
65,75
79,80
32,82
87,97
79,77
45,74
51,92
81,39
67,73
60,44
90,47
73,59
83,67
60,61
27,77
81,76
74,69
87,84
71,74
68,75
79,79
70,27
74,69
83,49
63,73
69,59
83,74
77,72
54,82
81,60
37,82
63,30
31,91
52,67
36,51
35,45
84,65
63,64
55,70
76,43
64,69
69,77
75,81
47,66
60,60
65,55
82,92
75,65
81,82
52,77
63,61
57,34
62,67
83,89
73,45
85,24
73,72
57,66
66,50
73,87
64,83
86,71
66,46
82,79
38,79
68,64
71,81
80,58
77,60
59,62
84,71
55,51
53,77
85,35
68,42
78,70
80,69
88,77
43,51
70,85
44,68
28,70
86,80
77,66
79,77
56,74
29,76
64,69
69,67
93,83
49,69
76,73
79,73
86,77
68,81
72,74
58,59
23,80
35,67
97,43
71,77
58,65
76,32
58,89
41,61
48,84
75,82
57,46
57,77
38,78
32,53
80,35
65,80
28,60
72,79
65,82
60,68
43,27
86,72
89,85
70,92
67,74
65,66
63,65
76,49
87,78
52,25
80,73
47,87
79,59
35,38
88,76
77,82
55,70
89,33
33,34
84,82
92,68
61,49
72,78
42,71
85,57
59,73
32,73
75,47
77,47
60,57
75,55
65,92
76,83
61,85
63,91
60,71
74,79
69,93
74,49
84,80
64,42
26,70
90,53
82,41
63,82
51,81
57,83
29,80
52,69
26,47
56,75
71,78
71,79
84,63
81,58
78,83
42,78
75,75
91,88
31,66
85,81
48,87
71,72
74,71
83,43
76,70
40,76
74,57
86,71
34,65
71,57
55,79
32,61
73,62
70,85
38,28
53,75
28,84
53,62
71,67
27,34
24,66
75,89
28,69
85,50
62,61
61,19
72,71
68,78
69,74
74,55
87,87
77,90
30,44
61,87
69,71
73,34
83,60
70,56
22,63
77,59
77,66
44,41
71,84
74,74
74,70
80,53
52,38
80,88
34,82
84,52
44,73
28,67
46,28
61,85
80,58
75,94
36,57
71,75
85,78
43,69
90,73
79,80
57,49
58,92
76,87
78,57
26,56
63,81
73,45
76,89
76,33
47,86
88,65
82,71
74,78
60,74
96,65
63,76
29,54
47,52
49,27
59,49
76,85
37,37
78,43
74,48
64,90
83,82
55,69
77,63
84,69
77,43
91,66
64,28
40,57
66,64
51,81
32,60
37,56
72,83
37,81
32,85
41,50
80,79
84,75
86,30
51,74
69,90
60,48
89,72
38,74
66,83
78,54
55,89
54,60
67,76
56,86
74,80
65,58
82,64
76,82
57,80
72,70
74,58
84,33
82,84
71,74
64,74
68,45
60,26
79,77
57,89
59,60
84,75
59,70
30,77
46,72
58,68
80,77
50,62
74,64
68,79
87,43
41,84
82,25
56,51
72,85
26,47
56,63
75,79
79,85
71,78
77,66
77,57
77,47
75,67
72,48
63,77
60,69
68,51
72,51
79,66
31,79
53,40
46,84
74,95
38,70
66,76
71,32
75,52
66,78
67,26
93,65
79,70
43,84
81,87
62,84
61,95
48,83
73,92
73,64
83,84
68,64
87,42
83,31
67,47
76,33
76,76
46,69
30,55
45,37
63,80
70,21
70,57
88,29
84,83
82,71
54,79
79,23
51,64
57,75
44,66
63,77
90,85
64,72
86,62
57,79
80,65
85,84
42,77
35,85
94,73
33,58
24,29
86,59
75,76
61,71
79,85
43,67
55,71
81,24
91,74
24,81
84,80
78,84
21,58
89,79
56,78
81,63
85,82
88,94
65,70
32,65
,59
,76
,80
,33
,60
,69
,88
,89
,78
,91
,68
,66
,60
,35
,48
,74
,80
,92
,38
,57
,32
,38
,57
,54
,63
,66
,45
,62
,58
,38
,70
,51
,56
,68
,76
,78
,53
,72
,52
,33
,72
,39
,62
,54
,85
,36
,65
,24
,55
,44
,74
,48
,54
,75
,75
,61
,75
,76
,68
,70
,88
,24
,53
,88
,69
,67
,63
,51
,53
,84
,72
,91
,77
,62
,65
,82
,58
,72
,76
,30
,60
,90
,72
,63
,38
,48
,71
,66
,85
,64
,76
,63
,82
,63
,38
,88
,86
,65
,69
,82
,53
,75
,53
,58
,80
,90
,68
,49
,62
,88
,30
,41
,80
,71
,85
,49
,51
,65
,75
,93
,73
,76
,85
,43
,80
,39
,73
,58
,39
,72
,61
,60
,64
,76
,78
,57
,57
,66
,69
,48
,65
,72
,50
,73
,41
,80
,71
,70
,63
,75
,28
,83
,74
,83
,74
,68
,36
,85
,55
,50
,43
,73
,82
,66
,66
,51
,68
,76
,86
,78
,81
,43
,77
,34
,71
,54
,61
,68
,87
,74
,84
,86
,76
,54
,54
,76
,58
,84
,52
,58
,88
,75
,78
,66
,84
,45
,77
,77
,83
,62
,77
,55
,79
,74
,72
,88
,56
,71
,34
,60
,77
,85
,79
,83
,79
,70
,78
,30
,59
,75
,62
,87
,88
,58
,89
,73
,48
,69
,82
,68
,97
,61
,64
,62
,69
,73
,74
,64
,76
,71
,66
,80
,64
,32
,82
,82
,58
,27
,77
,72
,71
,72
,52
,56
,70
,77
,90
,54
,66
,56
,67
,84
,78
,66
,75
,79
,31
,68
,74
,73
,75
,26
,84
,79
,63
,63
,74
,59
,85
,73
,50
,71
,65
,77
,85
,63
,67
,31
,81
,62
,70
,85
,63
,67
,70
,69
,87
,82
,75
,70
,79
,64
,30
,69
,81
,87
,70
,68
,80
,71
,41
,37
,73
,89
,79
,34
,68
,78
,73
,88
,52
,79
,65
,75
,88
,63
,52
,85
,55
,69
,69
,46
,62
,57
,54
,85
,51
,73
,71
,81
,87
,62
,78
,51
,85
,80
,86
,50
,68
,78
,31
,37
,85
,88
,88
,70
,73
,76
,78
,66
,80
,71
,58
,40
,85
,77
,73
,55
,53
,70
,69
,31
,64
,76
,62
,32
,63
,71
,79
,70
,30
,83
,63
,51
,70
,80
,32
,68
,51
,54
,49
,37
,69
,55
,27
,86
,68
,60
,58
,45
,63
,63
,71
,89
,69
,76
,65
,72
,84
,78
,82
,49
,49
,88
,79
,87
,67
,47
,91
,77
,79
,71
,25
,61
,47
,58
,62
,71
,36
,32
,38
,90
,61
,48
,45
,71
,79
,73
,74
,44
,66
,34
,48
,44
,74
,77
,37
,78
,93
,75
,74
,79
,55
,89
,81
,83
,66
,80
,80
,38
,79
,91
,75
,46
,72
,50
,72
,63
,81
,74
,65
,68
,72
,82
,78
,79
,54
,67
,54
,69
,77
,75
,46
,79
,76
,55
,64
,79
,87
,70
,70
,61
,65
,79
,67
,66
,73
,58
,76
,62
,70
,51
,76
,61
,70
,72
,36
,58
,70
,72
,83
,85
,69
,27
,86
,90
,72
,59
,81
,73
,37
,62
,83
,75
,56
,68
,47
,57
,67
,28
,63
,85
,63
,57
,60
,68
,67
,55
,59
,70
,66
,82
,75
,42
,53
,81
,45
,65
,69
,37
,71
,44
,89
,81
,87
,65
,92
,90
,33
,49
,82
,74
,80
,74
,82
,74
,87
,75
,92
,63
,80
,75
,85
,64
,42
,74
,34
,79
,75
,30
,54
,82
,40
,76
,68
,50
,81
,84
,68
,67
,46
,84
,63
,63
,80
,77
,74
,82
,67
,79
,36
,23
,22
,78
,39
,64
,36
,50
,78
,68
,60
,82
,69
,65
,49
,77
,84
,65
,69
,27
,58
,40
,60
,73
,76
,38
,55
,28
,81
,84
,31
,69
,70
,70
,80
,43
,54
,66
,79
,69
,61
,71
,74
,76
,77
,90
,65
,30
,79
,79
,74
,71
,66
,70
,72
,79
,78
,68
,42
,39
,79
,86
,69
,76
,90
,48
,27
,90
,65
,46
,36
,84
,77
,74
,89
,87
,58
,58
,79
,72
,87
,77
,58
,37
,74
,56
,68
,83
,50
,79
,73
,25
,38
,68
,80
,91
,58
,70
,83
,63
,74
,77
,79
,92
,95
,66
,73
,75
,75
,73
,68
,87
,55
,79
,51
,81
,76
,80
,40
,81
,52
,54
,49
,65
,76
,64
,76
,94
,77
,30
,84
,65
,41
,51
,53
,48
,71
,82
,56
,60
,94
,33
,48
,87
,82
,78
,56
,26
,49
,50
,76
,99
,91
,86
,79
,37
,66
,88
,85
,65
,61
,82
,64
,70
,98
,77
,65
,73
,46
,69
,77
,91
,88
,54
,81
,45
,82
,60
,49
,64
,42
,81
,23
,73
,89
,77
,83
,51
,88
,59
,38
,62
,80
,70
,42
,75
,72
,63
,58
,55
,25
,84
,82
,78
,64
,76
,30
,71
,74
,84
,75
,75
,67
,36
,80
,73
,75
,81
,72
,87
,75
,78
,72
,72
,83
,34
,68
,82
,79
,60
,86
,75
,66
,75
,79
,82
,69
,75
,72
,65
,68
,65
,39
,55
,44
,56
,64
,66
,68
,80
,64
,65
,59
,89
,44
,74
,83
,74
,79
,78
,26
,61
,27
,66
,70
,70
,39
,79
,79
,71
,70
,84
,64
,72
,81
,76
,57
,79
,67
,78
,78
,63
,88
,83
,84
,89
,73
,80
,32
,73
,32
,84
,85
,61
,91
,69
,57
,66
,62
,25
,69
,56
,70
,50
,70
,81
,74
,85
,85
,48
,76
,21
,71
,67
,44
,74
,72
,79
,72
,89
,63
,69
,73
,87
,71
,43
,75
,69
,71
,76
,59
,71
,45
,52
,86
,74
,57
,61
,73
,46
,64
,84
,48
,78
,85
,23
,58
,38
,81
,67
,49
,67
,40
,79
,73
,90
,35
,71
,78
,83
,63
,44
,50
,73
,39
,85
,70
,69
,63
,83
,70
